"","site","season","date","plot","tstart","tfinish","time","wamb","tav","pav","cav","flux_lm","flux_nlm","LM rsqd","non-linear sigma","aic_lm","aic_nlm"
"1","cbt","peak","06232020","1","10","80","night_evaporation","6.335084497515","-65.685","74.0165555555556","342.281666666667","0.415483649323498","0.354862773458045","0.985592376751437","0.0303023639083382","-359.44195799714","-291.046634216568"
"2","cbt","peak","06232020","2","10","80","night_evaporation","6.13185780836897","-65.7001111111111","74.0331111111111","344.907333333333","0.466782904966933","0.392423614774612","0.981669086600784","0.0373078097559271","-325.53560531719","-254.036298940139"
"3","cbt","peak","06232020","3","10","80","night_evaporation","5.83973651865682","-65.6846666666667","74.0535555555556","338.562333333333","0.535034142063778","0.493908420873248","0.987831315121324","0.0251108942344364","-335.735323011125","-313.201222059588"
"4","cbt","peak","06232020","4","10","80","night_evaporation","6.15263053023034","-65.68","74.0646666666667","372.849222222222","0.428051432476012","0.442027481126481","0.96734715524856","0.0288929132446397","-295.86769831087","-293.559983186048"
"5","cbt","peak","06232020","5","10","80","night_evaporation","6.40340286133095","-65.6991111111111","74.0653333333333","376.699","0.368939448412721","0.32641995803987","0.984686945995207","0.0227290169378946","-371.999238892352","-327.153537755867"
