"","site","season","date","plot","tstart","tfinish","time","camb","tav","pav","nee_lm","nee_exp","LM rsqd","non-linear sigma","aic_lm","aic_nlm"
"1","almont","peak","06122020","1","15","60","day","287.211899922912","-65.6681818181818","76.6353409090909","1.63045494691653","0.446958597535072","0.495776260094437","0.516905667870749","47.0520244740045","72.2681218001816"
"2","almont","peak","06122020","2","15","80","day","289.808012208937","-65.6025555555556","76.5903333333333","3.21958437633138","1.45205905766867","0.919779883911824","0.71851473983634","40.3822006646099","145.456616326701"
"3","almont","peak","06122020","3","10","60","day","288.834099493573","-65.6294444444444","76.5891111111111","4.17018920867312","3.40388960742861","0.866669318287088","0.47587836789301","61.584586647227","71.5934548904034"
"4","almont","peak","06122020","4","10","65","day","287.833643814065","-65.6335555555556","76.5687777777778","2.97920404534928","6.90876952063169","0.798294663359021","0.387793008510688","67.658342409813","55.8447765676251"
"5","almont","peak","06122020","5","10","60","day","285.95589957895","-65.5926666666667","76.5516666666667","3.67458711656458","3.78206421539564","0.861714916450158","0.365966653814986","50.892790053428","45.3314476417904"
"6","almont","peak","06122020","1","10","80","dayresp","287.211899922912","-65.6854444444444","76.6267777777778","0.0783876055577947","17.7590434988915","0.00436224496714731","0.419687250227893","84.4044024531215","81.067898831098"
"7","almont","peak","06122020","2","10","80","dayresp","289.808012208937","-65.6383333333333","76.5841111111111","-1.41311861880378","-1.33956192872681","0.677173276394791","0.354376167591283","57.0004919333303","57.3867837073801"
"8","almont","peak","06122020","3","10","80","dayresp","288.834099493573","-65.6342222222222","76.5784444444444","-0.604747857619334","-0.184325274769082","0.270511339634391","0.367933050093439","59.5121232259059","62.6426669633747"
"9","almont","peak","06122020","4","10","80","dayresp","287.833643814065","-65.6143333333333","76.561","-1.64026253689963","-1.31072368227553","0.645618388671516","0.45940184663645","88.225042023812","93.7260713984119"
"10","almont","peak","06122020","5","20","80","dayresp","285.95589957895","-65.5978888888889","76.5572222222222","0.375833937005278","0.318330043891188","0.098815979841283","0.35626806873968","49.7946420667515","50.3899113540786"
