"","site","season","date","plot","tstart","tfinish","time","wamb","tav","pav","cav","flux_lm","flux_nlm","LM rsqd","non-linear sigma","aic_lm","aic_nlm"
"1","almont","peak","06122020","1","15","70","day_evapotranspiration","3.86229501331976","-65.6681818181818","76.6353409090909","279.681704545455","0.827087911878168","0.541823607973079","0.980032166827447","0.092078516815529","-216.988048824048","-102.316529738725"
"2","almont","peak","06122020","2","10","70","day_evapotranspiration","2.67072765519251","-65.6025555555556","76.5903333333333","280.246888888889","1.61652895886781","1.43261356714905","0.955668372532225","0.120296968179883","-94.4124290475296","-79.8964921337389"
"3","almont","peak","06122020","3","10","80","day_evapotranspiration","1.91222516463365","-65.6294444444444","76.5891111111111","283.288444444444","2.12043648973791","1.76452013386946","0.992215363001192","0.150907820830677","-176.967730479922","-62.129785063137"
"4","almont","peak","06122020","4","10","80","day_evapotranspiration","2.47610215884452","-65.6335555555556","76.5687777777778","282.508","1.50014325073123","1.2177490472741","0.994385328011609","0.116396751751798","-249.444661134809","-98.4828239305929"
"5","almont","peak","06122020","5","10","80","day_evapotranspiration","2.26915582124109","-65.5926666666667","76.5516666666667","283.807","1.42960228568216","1.22278101188646","0.984585246733562","0.100897743804589","-183.806231461868","-118.488412693718"
"6","almont","peak","06122020","1","25","80","day_evaporation","3.86229501331976","-65.6854444444444","76.6267777777778","282.590777777778","0.123327373527368","0.0816270968648698","0.852575105775717","0.0188018663537646","-310.381665922121","-277.071936682994"
"7","almont","peak","06122020","2","10","80","day_evaporation","2.67072765519251","-65.6383333333333","76.5841111111111","283.162666666667","0.969090288718811","0.0014264586159383","0.97497357045614","0.807859402795761","-203.999734886895","172.750853181533"
"8","almont","peak","06122020","3","10","50","day_evaporation","1.91222516463365","-65.6342222222222","76.5784444444444","282.887222222222","1.07882816065364","0.959372469760477","0.93897927981245","0.0595118720943848","-113.439749713071","-108.26300554602"
"9","almont","peak","06122020","4","10","65","day_evaporation","2.47610215884452","-65.6143333333333","76.561","284.312555555556","1.03892352367817","0.761457572260272","0.993142347716806","0.0884059250650619","-251.892451376831","-106.793822745701"
"10","almont","peak","06122020","5","15","80","day_evaporation","2.26915582124109","-65.5978888888889","76.5572222222222","286.383444444444","0.962792731000552","1.00150591789523","0.964871954574727","0.0579307190514067","-176.58955428618","-181.875378610331"
