"","site","season","date","plot","tstart","tfinish","time","camb","tav","pav","nee_lm","nee_exp","LM rsqd","non-linear sigma","aic_lm","aic_nlm"
"1","cbt","peak","06232020","1","10","80","nightresp","341.064146480439","-65.685","74.0165555555556","-10.1065326992559","-8.27456417721625","0.988599782054562","0.852299930608197","76.9110035668479","182.766579103854"
"2","cbt","peak","06232020","2","10","80","nightresp","337.614512991684","-65.7001111111111","74.0331111111111","-3.98795710247755","-2.72785859177327","0.912653183334096","0.668208896463124","95.1064665034894","144.148647462551"
"3","cbt","peak","06232020","3","10","80","nightresp","344.923543034632","-65.6846666666667","74.0535555555556","-7.52216845492909","-6.28028239348294","0.984934313015945","0.607521774549029","54.9811755842468","132.850850453227"
"4","cbt","peak","06232020","4","10","80","nightresp","361.289933857526","-65.68","74.0646666666667","-16.477262691452","-13.5772417722398","0.976969535287421","1.50684152235504","197.012494141784","260.024472501895"
"5","cbt","peak","06232020","5","10","80","nightresp","373.326406671023","-65.6991111111111","74.0653333333333","-6.91450643884962","-5.81063413381908","0.975555313285171","0.600815678860743","78.0351688295139","131.296875554813"
